Date,Latitude,Longitude,CO2_Concentration,CO_Concentration,CH4_Concentration
2023-09-09,42.162634014652525,39.403912960473974,420.03630029823876,2.0197118023181826,2.815375506307726
2023-09-09,-0.3209312140959071,75.5367485172147,442.60338609709464,4.117530454305424,3.711159111457544
2023-09-09,83.68051522296363,15.506585392679625,396.91341718886525,-0.07035634992461937,1.6955020848776774
2023-09-09,-50.88498995611123,64.44665743412918,415.232143281218,1.566996761923294,2.5181987838241433
2023-09-09,-87.66159584683167,8.411303603572776,396.07115212580743,-0.2598262395611111,1.6998644422743368
2023-09-09,31.244047601816064,-118.95327819139018,427.10908749742225,2.576494336019667,3.0324173077985943
2023-09-09,-21.675753278950893,66.18486619378962,429.57292180817205,3.053791228584307,3.3021020261429186
2023-09-09,84.69061064587208,-143.02738826762294,400.261145286904,-0.08844315598625378,1.778049532697177
2023-09-09,32.02539381247071,119.94405964997458,422.8535674248649,2.5116607141118203,2.9192657694987423
2023-09-09,36.89805841460583,156.38608939980128,418.63613350704236,2.2938610230589522,2.8784824725019265
2023-09-10,42.162634014652525,39.403912960473974,419.64418692114106,2.0407730017187915,2.7059404368929103
2023-09-10,-0.3209312140959071,75.5367485172147,442.21795434852703,4.122444872227205,3.812286899720787
2023-09-10,83.68051522296363,15.506585392679625,398.82035888830734,-0.0570682663901175,1.700365772817751
2023-09-10,-50.88498995611123,64.44665743412918,415.7880206415512,1.5749437087011067,2.6370842528884624
2023-09-10,-87.66159584683167,8.411303603572776,394.5745582797161,-0.2479844659307091,1.5842101033675464
2023-09-10,31.244047601816064,-118.95327819139018,424.46604694590616,2.554675628098215,3.0736297233551886
2023-09-10,-21.675753278950893,66.18486619378962,430.9763274023461,3.0618607051643605,3.2047516502312416
2023-09-10,84.69061064587208,-143.02738826762294,395.2322953593701,-0.10021865451472894,1.7319997883037666
2023-09-10,32.02539381247071,119.94405964997458,424.672680587985,2.5327926635764975,3.018327444090931
2023-09-10,36.89805841460583,156.38608939980128,415.3629838913705,2.2714502608411458,2.852982573345035
2023-09-11,42.162634014652525,39.403912960473974,422.9477190694564,2.0140068357844636,2.749639648165007
2023-09-11,-0.3209312140959071,75.5367485172147,440.1776693012876,4.1079595741639015,3.750948395249679
2023-09-11,83.68051522296363,15.506585392679625,396.7581352235378,-0.05402419836168815,1.6825530732907423
2023-09-11,-50.88498995611123,64.44665743412918,416.7524790388401,1.5755079571868011,2.463884987609026
2023-09-11,-87.66159584683167,8.411303603572776,395.6372490990381,-0.2504049992541688,1.6660390292901082
2023-09-11,31.244047601816064,-118.95327819139018,420.7128697777037,2.5818345665328026,3.0239167911918177
2023-09-11,-21.675753278950893,66.18486619378962,429.410914729211,3.037406337833658,3.268824535732186
2023-09-11,84.69061064587208,-143.02738826762294,398.0313179708267,-0.0964284706962934,1.6077700734836677
2023-09-11,32.02539381247071,119.94405964997458,425.7145479297814,2.531375201957261,3.0135495555237033
2023-09-11,36.89805841460583,156.38608939980128,425.1576412149155,2.2966230630062237,2.9661901229719274
2023-09-12,42.162634014652525,39.403912960473974,419.3630611629066,2.031830739017266,2.7974084704372473
2023-09-12,-0.3209312140959071,75.5367485172147,443.2785364183849,4.105496918096625,3.819880926812449
2023-09-12,83.68051522296363,15.506585392679625,398.9574918897129,-0.06303935281782058,1.7291912857476865
2023-09-12,-50.88498995611123,64.44665743412918,412.42673996240995,1.5841857797693293,2.5744573962491915
2023-09-12,-87.66159584683167,8.411303603572776,396.85590788615633,-0.25955566400472285,1.6101612828243008
2023-09-12,31.244047601816064,-118.95327819139018,423.8349415867892,2.566244771664154,3.0752068656922464
2023-09-12,-21.675753278950893,66.18486619378962,428.89627349999415,3.033524945149084,3.329248631043386
2023-09-12,84.69061064587208,-143.02738826762294,395.0895068337059,-0.10727896516304261,1.702151726330367
2023-09-12,32.02539381247071,119.94405964997458,426.20974625095994,2.5378199774208703,3.158196386146393
2023-09-12,36.89805841460583,156.38608939980128,425.49049620569167,2.2785586516153526,2.9085452430763414
2023-09-13,42.162634014652525,39.403912960473974,422.5141340179246,2.021228191454964,2.7931073182488917
2023-09-13,-0.3209312140959071,75.5367485172147,439.2965659146814,4.109885686791541,3.7895904257422455
2023-09-13,83.68051522296363,15.506585392679625,399.4523887533677,-0.07004508717924436,1.7973715222010018
2023-09-13,-50.88498995611123,64.44665743412918,416.4681315059114,1.5859833217642292,2.460303698794947
2023-09-13,-87.66159584683167,8.411303603572776,396.81528817281236,-0.26459613831034456,1.637713803386016
2023-09-13,31.244047601816064,-118.95327819139018,425.2353682313578,2.552400458622435,2.9446707615694976
2023-09-13,-21.675753278950893,66.18486619378962,427.4866764931364,3.0354555769024008,3.3045485586689853
2023-09-13,84.69061064587208,-143.02738826762294,400.225165947561,-0.10563104487595242,1.7197718176651358
2023-09-13,32.02539381247071,119.94405964997458,424.4039207363247,2.5234919691158195,2.9495743097018847
2023-09-13,36.89805841460583,156.38608939980128,422.8808636514367,2.2735287979312675,2.866681062575658
2023-09-14,42.162634014652525,39.403912960473974,416.3727440604121,2.014892625495219,2.710003609326437
2023-09-14,-0.3209312140959071,75.5367485172147,436.09592988348624,4.115742450257974,3.8369220962416377
